./../OID/Dataset/train/Pig/49742eda0eb0977c.jpg,91,172,426,469,Pig
./../OID/Dataset/train/Sheep/a191ee873b7096a2.jpg,0,47,179,330,Sheep
./../OID/Dataset/train/Cattle/d054a74186e08326.jpg,150,456,361,583,Cattle
./../OID/Dataset/train/Cattle/3450294c2bb12004.jpg,119,2,925,1024,Cattle
./../OID/Dataset/train/Sheep/f95f4737ce9aec24.jpg,702,297,826,428,Sheep
./../OID/Dataset/train/Sheep/02df0b4aa83e521b.jpg,289,143,332,176,Sheep
./../OID/Dataset/train/Sheep/f27381819158518a.jpg,445,103,944,720,Sheep
./../OID/Dataset/train/Sheep/5a0ca368ccb5d2e6.jpg,808,268,1023,346,Sheep
./../OID/Dataset/train/Sheep/b9d77294f56598b5.jpg,239,621,447,755,Sheep
./../OID/Dataset/train/Sheep/f7f28a644f0b1eb9.jpg,0,372,151,578,Sheep
./../OID/Dataset/train/Cattle/dddac4f0bac6b140.jpg,345,574,369,619,Cattle
./../OID/Dataset/train/Pig/c0bfa00bfbf8fef7.jpg,232,328,884,678,Pig
./../OID/Dataset/train/Sheep/1fd93805fa877de6.jpg,466,378,682,696,Sheep
./../OID/Dataset/train/Cattle/2c5ed8ee0ba0ef24.jpg,442,408,626,743,Cattle
./../OID/Dataset/train/Sheep/55fee33a6627bf96.jpg,856,365,913,430,Sheep
./../OID/Dataset/train/Sheep/3f7bdbf263444e07.jpg,332,312,361,345,Sheep
./../OID/Dataset/train/Cattle/9ca3ce4d8243a5ed.jpg,638,396,669,436,Cattle
./../OID/Dataset/train/Cattle/0a036c2bd1b5a4d4.jpg,860,430,914,462,Cattle
./../OID/Dataset/train/Pig/ebc3778b7d00408b.jpg,0,0,54,84,Pig
./../OID/Dataset/train/Pig/e86cc8b9fdd77eb3.jpg,750,0,1023,575,Pig
./../OID/Dataset/train/Pig/522f800c696592b7.jpg,648,382,711,421,Pig
./../OID/Dataset/train/Sheep/04972dc0c6d0886e.jpg,482,446,573,533,Sheep
./../OID/Dataset/train/Sheep/4f07b10e39361659.jpg,491,419,675,556,Sheep
./../OID/Dataset/train/Cattle/87bae9d036c5f65f.jpg,177,81,229,155,Cattle
./../OID/Dataset/train/Sheep/291f795626ee1e9d.jpg,489,756,635,896,Sheep
./../OID/Dataset/train/Pig/60156856201ee461.jpg,392,219,733,431,Pig
./../OID/Dataset/train/Sheep/55fee33a6627bf96.jpg,655,228,696,264,Sheep
./../OID/Dataset/train/Cattle/2199382c08bd1f50.jpg,209,268,595,479,Cattle
./../OID/Dataset/train/Sheep/680a07940294b74b.jpg,940,468,982,486,Sheep
./../OID/Dataset/train/Sheep/1874f80f253228fa.jpg,146,228,204,283,Sheep
./../OID/Dataset/train/Sheep/389055d5594f1fdf.jpg,91,300,422,714,Sheep
./../OID/Dataset/train/Sheep/df041b57bfa3aef5.jpg,315,251,377,306,Sheep
./../OID/Dataset/train/Sheep/f4abe5a84081c479.jpg,608,464,630,477,Sheep
